Filename,Author/Creator Name,Date,Work Title,Editors,Publisher,Volume Number,Issue Number,Page Numbers,Department,,,,,,,,,,,,,,,,,,,,
InkpenDianaTanasescuChris_GraphPoems_2019.txt,Inkpen Diana & Tanasescu Chris ,2018,UOttawa Graph Poem Project,,University of Ottawa Arts,,,,English,,,,,,,,,,,,,,,,,,,,
InvestinCanada_DigitalMediaGlobalAffairsCanada_2017.txt,Invest in Canada,2017,"""Digital Media - Global Affairs Canada""",,Government of Canada,,,pp. 1-6,Game Studies,,,,,,,,,,,,,,,,,,,,
HamelMarieHosee_DigitalLiteracyfortheTeachingandLearningofLanguages_2018.txt,Hamel Marie Hosée,2018,"""Digital literacy for the teaching and learning of languages""",,European Centre for Modern Languages of the Council of Europe,,,,Linguistics,,,,,,,,,,,,,,,,,,,,
HuntDallas_StevensonShaunA_DecolonizinggeographiesofpowerindigenousdigitalcountermappingpracticesonturtleIsland_2016.txt,Hunt Dallas  & Stevenson Shaun A. ,2016,"""Decolonizing geographies of power: indigenous digital counter-mapping practices on turtle Island""",,Settler Colonial Studies,7,3,pp. 372-392,Interdisciplinary,,,,,,,,,,,,,,,,,,,,
NationalResearchCouncilCanada_ProjecttoupdatetheAlgonquiandictionarieslinguisticatlasandotherlearningtoolsforIndigenouslanguages_2019.txt,Junker Marie-Odile,2005-present,Algonquin Linguistics Atlas,,,,,,Linguistics,,,,,,,,,,,,,,,,,,,,
LauriaultTracey_Smalldatabigdata_2014.txt,Kitchin Rob & Tracey P. Lauriault,2014,"""Small data in the era of big data""
",,GeoJournal,80,4,pp. 463-475,Communications,,,,,,,,,,,,,,,,,,,,
McLellanGillian_TechMediatedLanguageTraining_2019.txt,McLellan Gillian Margaret,2019,"""Technology-Mediated Workplace Language Training: Developing and Assessing a Module for a Blended Curriculum for Newcomers.""",,Carleton University,,,,Linguistics,,,,,,,,,,,,,,,,,,,,
McNeillyNick_ShinersGame_2019.txt,McNeilly Nick,2019,"""they're counting on you.""",,,,,,,,,,,,,,,,,,,,,,,,,,
Nordicity_InteractiveDigitalMediaVideoGames_2017.txt,Nordicity,2017,"""Interactive Digital Media/Video Games""",,Nordicity,,,pp. 1–37,Game Studies,,,,,,,,,,,,,,,,,,,,
RobertsonAdrien_GamingWithGhosts_2013.txt,Robertson Adrien,2013,"""Gaming with Ghosts: Hauntology Metanarrative and Gamespace in Video Games""",,Carleton University,,,,Game Studies,,,,,,,,,,,,,,,,,,,,
SenierSiobhan_DigitizingIndigenousHistoryTrendsandChallenges_2014.txt,Senier Siobhan,2014,"""Digitizing Indigenous History: Trends and Challenges. Journal of Victorian Culture""",,Journal of Victorian Culture,19,3,pp. 396-402,English,,,,,,,,,,,,,,,,,,,,
